index,title,keywords,cast,director,Img_links,Synopsys
2707,Easy Virtue,,Jessica Biel Ben Barnes Kristin Scott Thomas Colin Firth Kimberley Nixon,Stephan Elliott,"https://m.media-amazon.com/images/M/MV5BMTI0NDA2NDM4OV5BMl5BanBnXkFtZTcwMjUxODk0Mg@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window."
2708,Caravans,,Anthony Quinn Jennifer O'Neill Michael Sarrazin Christopher Lee Joseph Cotten,James Fargo,"https://m.media-amazon.com/images/M/MV5BOTQ3Y2QzZmYtZDA5NC00YTcwLTk1OWItOWZiMTY4NTcyYzI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In 1948, at the U.S. embassy in Zadestan, a young diplomat is ordered to find the missing daughter of an influential U.S. Senator."
2709,Mr. Turner,painter,Timothy Spall Dorothy Atkinson Marion Bailey Paul Jesson Lesley Manville,Mike Leigh,"https://m.media-amazon.com/images/M/MV5BMjUzNTg0MzM3NF5BMl5BanBnXkFtZTgwNDg3NTY5MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An exploration of the last quarter century of the great, if eccentric, British painter J.M.W. Turner's life."
2710,Wild Grass,whiskey experimental film wallet cult director,Andr\u00e9 Dussollier Sabine Az\u00e9ma Emmanuelle Devos Mathieu Amalric Anne Consigny,Alain Resnais,"https://m.media-amazon.com/images/M/MV5BNWVlOTYwMDgtYzQ0Zi00NmY0LWJlZDctZDA1ZTAwMTg0YmFhXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","A quirky woman who spends her free time as a pilot has her purse stolen; when a mysterious man finds her wallet, they embark on a peculiar romance."
2711,Amen.,vatican pope concentration camp holocaust schutzstaffel,Ulrich Tukur Mathieu Kassovitz Ulrich M\u00fche Michel Duchaussoy Marcel Iure\u0219,Costa-Gavras,"https://m.media-amazon.com/images/M/MV5BMTM1NzU5NTA0N15BMl5BanBnXkFtZTcwMTUzOTUxMQ@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",During WWII SS officer Kurt Gerstein tries to inform Pope Pius XII about Jews being sent to extermination camps. Young Jesuit priest Riccardo Fontana helps him in the difficult mission to inform the world.
2712,Reign of Assassins,martial arts sword fight wuxia,Michelle Yeoh Jung Woo-sung Wang Xue-qi Barbie Hsu Shawn Yue,John Woo,"https://m.media-amazon.com/images/M/MV5BNzNmYWZlOGEtYWE3OC00ZDc3LTg2MTAtYjM1ZjJkZmRlMjI0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",Drizzle/Zeng Jing tries to start a new life after she had betrayed her gang and hid the remains of monk.
2713,The Lucky Ones,friendship war road trip independent film soldier,Tim Robbins Rachel McAdams Michael Pe\u00f1a Kerry Bish\u00e9 Molly Hagan,Neil Burger,"https://m.media-amazon.com/images/M/MV5BMTI4NzAyNTA1MV5BMl5BanBnXkFtZTcwMzQzNDc4MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Three different soldiers - a woman and two men - return from the war and facing the peaceful life's problems of each other.
2714,Margaret,new york bus nightmare witness investigation,Anna Paquin Matt Damon Mark Ruffalo Matthew Broderick Jeannie Berlin,Kenneth Lonergan,"https://m.media-amazon.com/images/M/MV5BYWFiMTIyMjEtY2M4ZC00NDlkLWFiMWUtMDdhNTVhMjM0YjU3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives."
2715,Stan Helsing,halloween slapstick duringcreditsstinger,Diora Baird Leslie Nielsen Steve Howey Kenan Thompson Tara Wilson,Bo Zenga,"https://m.media-amazon.com/images/M/MV5BNTA3OTUwMDQzOF5BMl5BanBnXkFtZTcwNjU3NzI5Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A spoof on many horror movie series. Ending his shift at the video rental, Stan's picked up by his BFF and 2 cute girls, all going to a Halloween party. Will they even get there?"
2716,Flipped,shyness based on novel unrequited love neighbor family relationships,Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards John Mahoney,Rob Reiner,"https://m.media-amazon.com/images/M/MV5BMTU2NjQ1Nzc4MF5BMl5BanBnXkFtZTcwNTM0NDk1Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Two eighth-graders start to have feelings for each other despite being total opposites.
2717,Brokeback Mountain,gay countryside homophobia loss of lover wyoming,Heath Ledger Jake Gyllenhaal Randy Quaid Michelle Williams Anne Hathaway,Ang Lee,"https://m.media-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The story of a forbidden and secretive relationship between two cowboys, and their lives over the years."
2718,Clueless,puberty high school make a match spoiled child gay interest,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Amy Heckerling,"https://m.media-amazon.com/images/M/MV5BNjhjYzhiMGUtYTNkZC00NzM4LThjZmYtMjIzMGVlZjM5MjQ4XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way."
2719,Far from Heaven,black people wife husband relationship botanist homosexuality,Julianne Moore Dennis Quaid Dennis Haysbert Patricia Clarkson Viola Davis,Todd Haynes,"https://m.media-amazon.com/images/M/MV5BMTE5ODI3MTM4OV5BMl5BanBnXkFtZTYwNjE5OTg2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world."
2720,Hot Tub Time Machine 2,time travel sequel hot tub duringcreditsstinger,Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase,Steve Pink,"https://m.media-amazon.com/images/M/MV5BMTU3NzQzMzE0NV5BMl5BanBnXkFtZTgwMDM4MTI0NDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When Lou gets killed, Nick and Jacob fire up the hot tub time machine to get back to the past, but they inadvertently land in the future with Adam Jr. Now they have to alter the future in ... See full summary »"
2721,Quills,asylum french revolution french smuggling maid,Geoffrey Rush Kate Winslet Joaquin Phoenix Michael Caine Billie Whitelaw,Philip Kaufman,"https://m.media-amazon.com/images/M/MV5BYzEwMTExODAtNWQ2NS00ZWNiLTlhNDctYmMwNmM0OTAwNTIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor."
2722,Seven Psychopaths,suicide alcohol sex screenwriter underworld,Colin Farrell Sam Rockwell Woody Harrelson Christopher Walken Tom Waits,Martin McDonagh,"https://m.media-amazon.com/images/M/MV5BMTgwMzUxMjc0M15BMl5BanBnXkFtZTcwMzQ2MjYyOA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
2723,The Caveman's Valentine,woman director,Samuel L. Jackson Colm Feore Ann Magnuson Aunjanue Ellis Tamara Tunie,Kasi Lemmons,"https://m.media-amazon.com/images/M/MV5BMTc0MzI0MTkwMl5BMl5BanBnXkFtZTYwNDMxMjk5._V1_UY268_CR9,0,182,268_AL__QL50.jpg","A cave-dwelling man sets out to track down the killer of a homeless boy, and bring him to justice."
2724,Downfall,berlin poison dictator clerk ideology,Bruno Ganz Alexandra Maria Lara Corinna Harfouch Ulrich Matthes Juliane K\u00f6hler,Oliver Hirschbiegel,"https://m.media-amazon.com/images/M/MV5BZDFmNzI3YmItMTMyMy00YjE1LTliYTgtN2Q4M2QzZDE5MTlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
2725,The Sea Inside,brother brother relationship paraplegic intensive care ladykiller wheelchair,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,Alejandro Amen\u00e1bar,"https://m.media-amazon.com/images/M/MV5BMjE0NDk2NjgwMV5BMl5BanBnXkFtZTYwMTgyMzA3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die."
2726,Under the Skin,male nudity scotland edinburgh alien very little dialogue,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer,"https://m.media-amazon.com/images/M/MV5BMTU1MDEwMDg4Nl5BMl5BanBnXkFtZTgwOTk3NTcxMTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery."
2727,"Good Morning, Vietnam",rock and roll radio station war crimes entertainer explosive,Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana Bruno Kirby,Barry Levinson,"https://m.media-amazon.com/images/M/MV5BOWRhZGQ5ODQtMzUzNi00M2I4LThmZmUtYmQ0NDQzMTkxMWQ0XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam."
2728,The Last Godfather,,Harvey Keitel Jason Mewes Blake Clark Jon Polito Paul Hipp,Shim Hyung-Rae,"https://m.media-amazon.com/images/M/MV5BMTYxNTgzOTQyNV5BMl5BanBnXkFtZTcwMzI1NDk3NA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A Mafia boss trains his mentally impaired son as his successor.
2729,Justin Bieber: Never Say Never,manager canada pop singer star prayer,Justin Bieber Miley Cyrus Usher Raymond Jaden Smith Sean Kingston,Jon M. Chu,"https://m.media-amazon.com/images/M/MV5BMTY0NDQzMjIzOF5BMl5BanBnXkFtZTcwNDk2NzczNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Follows Justin Bieber with some footage of performances from his 2010 concert tour.
2730,Black Swan,dancing competition sex dancer obsession,Natalie Portman Mila Kunis Vincent Cassel Barbara Hershey Winona Ryder,Darren Aronofsky,"https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
2731,The Godfather: Part II,italo-american cuba vororte melancholy praise,Al Pacino Robert Duvall Diane Keaton Robert De Niro John Cazale,Francis Ford Coppola,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
2732,Save the Last Dance,ballet dancer musical ballet,Julia Stiles Sean Patrick Thomas Kerry Washington Fredro Starr Terry Kinney,Thomas Carter,"https://m.media-amazon.com/images/M/MV5BNjkzMjFkNmQtYTQ2Yy00NTRhLWE0ZGYtNjBmYTcyOTgxNGYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past."
2733,A Nightmare on Elm Street 4: The Dream Master,martial arts nightmare supernatural high school resurrection,Robert Englund Tuesday Knight Ken Sagoes Rodney Eastman Lisa Wilcox,Renny Harlin,"https://m.media-amazon.com/images/M/MV5BN2IwODlmN2ItOGU5NC00ZTBhLWJhZjItMTdkOTI1NTU4YzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good."
2734,Miracles from Heaven,miracle christian cure woman director accident,Jennifer Garner Kylie Rogers Martin Henderson Brighton Sharbino Courtney Fansler,Patricia Riggen,"https://m.media-amazon.com/images/M/MV5BMjkyOTI5NzgxMl5BMl5BanBnXkFtZTgwNjg4MzQzNzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Based on the incredible true story of the Beam family.
2735,"Dude, Where’s My Car?",dude amnesia idiot auto friendship,Ashton Kutcher Seann William Scott Kristy Swanson Jennifer Garner Marla Sokoloff,Danny Leiner,"https://m.media-amazon.com/images/M/MV5BNzRmN2NjNzktOWE1My00NjVlLWFhNjYtZmFkMzM5YTA2ZTFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Two potheads wake up after a night of partying and cannot remember where they parked their car.
2736,Young Guns,corruption sheriff deputy sheriff ranch billy the kid,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips Charlie Sheen Dermot Mulroney,Christopher Cain,"https://m.media-amazon.com/images/M/MV5BODA0MWZhNjctZWUxYy00OThjLWJkNGQtZjNlNGMzY2Y0MDBjXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
2737,St. Vincent,babysitter friendship neighbor divorce child of divorce,Bill Murray Melissa McCarthy Naomi Watts Jaeden Lieberher Chris O'Dowd,Theodore Melfi,"https://m.media-amazon.com/images/M/MV5BMTk5NzI5OTA4MF5BMl5BanBnXkFtZTgwNjc4NTM3MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door."
2738,About Last Night,duringcreditsstinger,Kevin Hart Michael Ealy Regina Hall Joy Bryant Christopher McDonald,Steve Pink,"https://m.media-amazon.com/images/M/MV5BMTk3OTc4NDMzNF5BMl5BanBnXkFtZTgwNjQ2NzY3MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Follow two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.
2739,10 Things I Hate About You,shakespeare sister high school cannabis deception,Heath Ledger Julia Stiles Joseph Gordon-Levitt Larisa Oleynik David Krumholtz,Gil Junger,"https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
2740,The New Guy,prison dual identity identity loser high school,DJ Qualls Eliza Dushku Zooey Deschanel Lyle Lovett Jerod Mixon,Ed Decter,"https://m.media-amazon.com/images/M/MV5BMzg4MDljNzYtNjNmNC00OThkLWIzMGEtZDc2Y2Y4MWZkNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A high school senior branded uncool in the ninth grade gets himself expelled so he changes his image to cool kid at the town's other high school.
2741,National Lampoon's Loaded Weapon 1,cocaine police spoof los angeles,Emilio Estevez Samuel L. Jackson Jon Lovitz Tim Curry Kathy Ireland,Gene Quintano,"https://m.media-amazon.com/images/M/MV5BM2Q2ZGYwMmItODRhMi00NzZmLWIyMTktYmNmNjlmY2VlOGY0XkEyXkFqcGdeQXVyMTI4ODc2NDY@._V1_UY268_CR87,0,182,268_AL__QL50.jpg",Add a Plot »
2742,The Shallows,mexico beach surfer island survival,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,Jaume Collet-Serra,"https://m.media-amazon.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
2743,The Butterfly Effect,amnesia chaos theory blackout time travel flashback,Ashton Kutcher Melora Walters Amy Smart Elden Henson William Lee Scott,Eric Bress,"https://m.media-amazon.com/images/M/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
2744,Snow Day,,Chevy Chase Chris Elliott Jean Smart Iggy Pop Pam Grier,Chris Koch,"https://m.media-amazon.com/images/M/MV5BOTE3M2Y4YjQtNDQzMS00NWYzLTkyODUtNGFkZmY0MTk4NjE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR5,0,182,268_AL__QL50.jpg","When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed."
2745,This Christmas,drama family family holiday family feud,Loretta Devine Delroy Lindo Idris Elba Regina King Laz Alonso,Preston A. Whitmore II,"https://m.media-amazon.com/images/M/MV5BMjE0NDY5Mzk2OF5BMl5BanBnXkFtZTYwNzI3MDM4._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A Christmastime drama centered around the Whitfield family's first holiday together in four years.
2746,Baby Geniuses,baby genius toddler baby geniuses,Kathleen Turner Christopher Lloyd Kim Cattrall Peter MacNicol Dom DeLuise,Bob Clark,"https://m.media-amazon.com/images/M/MV5BZmRhMWVmOTQtNjUwMS00MzEwLWFkNWQtNWJlMTk3NDcyYzM1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin."
2747,The Big Hit,bungee-jump dark comedy cigarette smoking slow motion video store,Mark Wahlberg Lou Diamond Phillips Christina Applegate China Chow Avery Brooks,Kirk Wong,"https://m.media-amazon.com/images/M/MV5BZjMyMmI3ZWMtZTUyMC00OTVhLTg5YTctYjY2YjcxY2RlYzcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Socially anxious hitman Melvin Smiley, an expert in his lucrative field, goes on a job and falls in love with his kidnapping victim, turning his world upside down."
2748,Harriet the Spy,spy secret nanny notebook binoculars,Michelle Trachtenberg Rosie O'Donnell J. Smith-Cameron Eartha Kitt Vanessa Lee Chester,Bronwen Hughes,"https://m.media-amazon.com/images/M/MV5BY2UwOTQ0Y2QtZmM4NC00ZTRiLWIyZDUtMmIzYzg4MjQyNTUyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?
2749,Child's Play 2,faithlessness puppet killer toys toy comes to life,Alex Vincent Jenny Agutter Gerrit Graham Christine Elise Brad Dourif,John Lafia,"https://m.media-amazon.com/images/M/MV5BNTNlNjIxNjktOWUyMS00YWY5LWEwZGItMjZmODJlZWNiZGM2XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature, he also kills people who disobeyed Andy."
2750,No Good Deed,sadistic hostage sociopath serial killer blood,Idris Elba Taraji P. Henson Leslie Bibb Kate del Castillo Henry Simmons,Sam Miller,"https://m.media-amazon.com/images/M/MV5BNTk3NWI3NTktMjBkYi00OGJlLWE1MmItNjlkZTExMTZmZDdhXkEyXkFqcGdeQXVyMjU4ODU0MzU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A pair of burglars stumble upon a woman being held captive in a home they intended to rob.
2751,The Mist,father son relationship monster supermarket fight artist,Thomas Jane Marcia Gay Harden Laurie Holden Andre Braugher Toby Jones,Frank Darabont,"https://m.media-amazon.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
2752,Ex Machina,dancing artificial intelligence distrust isolation technology,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Alex Garland,"https://m.media-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
2753,Being John Malkovich,individual transvestism sexual identity witch identity,John Cusack Cameron Diaz Catherine Keener Charlie Sheen John Malkovich,Spike Jonze,"https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
2754,Two Can Play That Game,,Vivica A. Fox Morris Chestnut Anthony Anderson Gabrielle Union Wendy Raquel Robinson,Mark Brown,"https://m.media-amazon.com/images/M/MV5BMjAwOTU5MTk2M15BMl5BanBnXkFtZTcwMDY5NDIyMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","An arrogant career woman plays a series of heartless mind-games with her boyfriend to ""put him in line,"" only to discover that he has a few tricks up his own sleeve."
2755,Earth to Echo,alien found footage,Teo Halm Astro Resse Hartwig Ella Wahlestedt Jason Gray-Stanford,Dave Green,"https://m.media-amazon.com/images/M/MV5BMjEwMzA5Nzk2Ml5BMl5BanBnXkFtZTgwMDM2NzE4MTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After receiving a bizarre series of encrypted messages, a group of kids embark on an adventure with an alien who needs their help."
2756,Crazy/Beautiful,lovesickness jealousy parents kids relationship love of one's life cutting the cord,Kirsten Dunst Jay Hernandez Bruce Davison Herman Osorio Miguel Castro,John Stockwell,"https://m.media-amazon.com/images/M/MV5BMjE1NTYyMjI0MF5BMl5BanBnXkFtZTYwMTM4Mzc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","At Pacific Palisades High, a poor Latino falls hard for a troubled girl from an affluent neighborhood."
2757,Letters from Iwo Jima,world war ii cave dying and death pacific theater japanese army,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase Shidou Nakamura,Clint Eastwood,"https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
2758,The Astronaut Farmer,nasa texas dream fbi bankrupt,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish,Michael Polish,"https://m.media-amazon.com/images/M/MV5BMTg5NzkwMzA4NF5BMl5BanBnXkFtZTcwNDc0ODU0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A NASA astronaut, forced to retire years earlier so he could save his family farm, has never given up his dream of space travel and looks to build his own rocket, despite the government's threats to stop him."
2759,Woo,"blind date love manhattan, new york city woman director",Jada Pinkett Smith Tommy Davidson Duane Martin Michael Ralph Darrel Heath,Daisy von Scherler Mayer,"https://m.media-amazon.com/images/M/MV5BZTIxMDQzNDktMWE5MS00ZjNkLTgxMWQtZTVlZWVkMjNkOGIwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Gorgeous and extravert Woo meets insecure and straight-laced law clerk Tim at a blind date.
2760,Room,based on novel carpet isolation kidnapping imprisonment,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Lenny Abrahamson,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
2761,Dirty Work,,Norm Macdonald Artie Lange Jack Warden Traylor Howard Don Rickles,Bob Saget,"https://m.media-amazon.com/images/M/MV5BMjE0NzkzNDI3Ml5BMl5BanBnXkFtZTcwNjA0NzQzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A loser finds success in the revenge-for-hire business.
2762,Serial Mom,housewife protection motherly love evil mother murder,Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Traci Lords,John Waters,"https://m.media-amazon.com/images/M/MV5BYjM0N2ViMzUtMTc1OS00YmEzLWE2NWYtNjU5NTY4NjRlOTI0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A sweet mother finds herself participating in homicidal activities when she sees the occasion call for it.
2763,Dick,richard nixon watergate the white house,Kirsten Dunst Michelle Williams Will Ferrell Dan Hedaya Bruce McCulloch,Andrew Fleming,"https://m.media-amazon.com/images/M/MV5BNmUwZGUyOWYtMjJlMC00ODhhLWIxMDMtYjAwOGFmMGVjZTA1XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_UY268_CR7,0,182,268_AL__QL50.jpg",Two girls wander away from a White House tour and meet President Nixon.
2764,Light It Up,,Usher Raymond Vanessa Williams Forest Whitaker Rosario Dawson Robert Ri'chard,Craig Bolotin,"https://m.media-amazon.com/images/M/MV5BMTQ3ODc3NTQxNl5BMl5BanBnXkFtZTcwMTc2NjcxMQ@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",A group of teens are bent on improving the run-down conditions of their high-school.
2765,54,new york sex nightclub money drug,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,Mark Christopher,"https://m.media-amazon.com/images/M/MV5BYTIzNzIxMjEtZDNiZS00Y2E1LTkwOTItZGJjOTMwYzU4YzVmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",The famous 1970s New York City nightclub seen and told through the eyes of a young employee.
2766,Bubble Boy,lovesickness niagara falls crush youth illness,Jake Gyllenhaal Swoosie Kurtz Marley Shelton Danny Trejo John Carroll Lynch,Blair Hayes,"https://m.media-amazon.com/images/M/MV5BMTUwYjczNmItYzczNS00MDQwLTkxNDctN2MwYzI5YzhmNGU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.
